Artist,Song Name,Popularity,Lyrics
Harry Styles,Carolina,66," Oh yeah, oh yeah, oh yeah   She's got a family in Carolina  So far away, but she says I remind her of home  Feeling oh so far from home  She never saw herself as a West Coaster  Moved all the way 'cause her grandma told her:  Townes, better swim before you drown    She's a good girl  She's such a good girl  She's a good girl  She feels so good    She's got a book for every situation  Gets into parties without invitations  How could you ever turn her down?  There's not a drink that I think could sink her  How would I tell her that she's all I think about?  Well, I guess she just found out   She's a good girl  She's such a good girl  She's a good girl  She feels so good  She feels so good    I met her once and wrote a song about her  I wanna scream, yeah I wanna shout it out  And I hope she hears me now  La la la la, la la la la la la La la la la, la la la la la la La la la la, la la la la la la La la la la, la la la la la la   She's a good girl  She's such a good girl  She's a good girl  Feels so good She feels so good  She feels so good  She feels so good  Oh, she's a good girl She feels so good "
Harry Styles,Sweet Creature,75," Sweet creature Had another talk about where it's going wrong But we're still young We don't know where we're going But we know where we belong   And, oh, we started Two hearts in one home It's hard when we argue We're both stubborn I know, but oh   Sweet creature, sweet creature Wherever I go, you bring me home Sweet creature, sweet creature When I run out of road, you bring me home   Sweet creature Running through the garden Oh, where nothing bothered us But we're still young I always think about you and how we don't speak enough   And, oh, we started Two hearts in one home I know it's hard, we argue We're both stubborn I know, but oh   Sweet creature, sweet creature Wherever I go, you bring me home Sweet creature, sweet creature When I run out of road, you bring me home   And, oh, when we started Just two hearts in one home It gets harder when we argue We're both stubborn I know, but oh   Sweet creature, sweet creature Wherever I go, you bring me home Sweet creature, sweet creature When I run out of road, you bring me home You'll bring me home"
Niall Horan,Slow Hands,62," We should take this back to my place That's what she said right to my face 'Cause I want you bad Yeah, I want you, baby I've been thinkin' 'bout it all day And I hope you feel the same way, yeah 'Cause I want you bad Yeah, I want you, baby   Slow, slow hands Like sweat drippin' down our dirty laundry No, no chance That I'm leavin' here without you on me I, I know Yeah, I already know that there ain't no stoppin' Your plans and those Slow hands  Slow hands   I just wanna take my time We could do this, baby, all night, yeah 'Cause I want you bad Yeah, I want you, baby   Slow, slow hands Like sweat drippin' down our dirty laundry No, no chance That I'm leavin' here without you on me I, I know Yeah, I already know that there ain't no stoppin' Your plans and those Slow hands    Fingertips puttin' on a show Got me now and I can't say no Wanna be with you all alone Take me home, take me home Fingertips puttin' on a show Can't you tell that I want you, baby, yeah   Slow, slow hands Like sweat drippin' down our dirty laundry No, no chance That I'm leavin' here without you on me I, I know Yeah, I already know that there ain't no stoppin' Slow, slow hands Like sweat drippin' down our dirty laundry No, no chance That I'm leavin' here without you on me I, I know Yeah, I already know that there ain't no stoppin' Your plans and those Slow hands  Slow hands Woo, slow hands"
AJR,Weak,12," No thank you is what I should've said I should be in bed But temptations of trouble on my tongue Troubles yet to come   One sip, bad for me One hit, bad for me One kiss, bad for me But I give in so easily And no thank you is how it should've gone I should stay strong   But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that    No thank you They call me after dark, I don't want no part My habits, they hold me like a grudge I promise I won't budge   One sip, bad for me One hit, bad for me One kiss, bad for me But I give in so easily And no thank you is how it should've gone I should stay strong   But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that   We, we fall for that Wake up, we fall again We, we fall for that Can't wait to fall again   One sip, bad for me One hit, bad for me One kiss, bad for me But I give in so easily And no thank you is how it should've gone I should stay strong   But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Go! Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that Ooh waaaaaaa ee ya ee yaaaaa"
The Vamps,All Night,4," I been up all night, no sleep Cause I feel like I’m always dreaming All night, no sleep Cause I feel like I’m always dreaming Cause I feel like I’m always dreaming   Sometimes I tend to lose myself when I’m out here on my own I never seem to get it right, but I guess that’s how it goes Ever since you came around, can’t nobody hold me down You showed me how to find myself when I needed it the most   I been up all night, no sleep Cause I feel like I’m always dreaming All night, no sleep Cause I feel like I’m always dreaming Wide awake, that’s okay, as long as I’m with you I’ll be up all night, no sleep Cause I feel like I’m always dreaming Cause I feel like I’m always dreaming   I’m never gonna find my way If I don’t run to that goal The past is the past, today is today And there’s things I can’t control The circles underneath my eyes Tell the truth that I've been trying to hide I’ve been waiting for you way too long Won’t you come and take me home Oh I, I’m praying this ain’t all a dream Can you, you, wake me up before you leave   I been up all night, no sleep Cause I feel like I’m always dreaming All night, no sleep Cause I feel like I’m always dreaming Wide awake, that’s okay, as long as I’m with you I’ll be up all night, no sleep Cause I feel like I’m always dreaming Whoa, as long as I'm with you Cause I feel like I’m always dreaming"
Jon Bellion,All Time Low,72," I was the knight in shining armor in your movie Would put your lips on mine and love the aftertaste Now I'm a ghost, I call your name, you look right through me You're the reason I'm alone and masturbate   I, I've been trying to fix my pride But that shit's broken, that shit's broken Lie, lie, l-lie I tried to hide But now you know it   That I'm at an all time Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low   I was the prototype like 3 Stacks on that CD An example of the perfect candidate Now, all your girlfriends say that you don't want to see me You're the reason that I just can't concentrate   I,  I've been trying to fix my pride But that shit's broken, that shit's broken Lie , lie, l-lie I tried to hide But now you know it   That I'm at an all time Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low   I, I, I, I've been trying to fix my pride But that shit's broken, that shit's broken Lie , lie, l-lie and try to hide But now you know it That I'm at an all time Low, low, low, low, low, low Low, low, low, low, low, low, low, low, low, low, low Low, low Low, low, low, low, low, low, low, low, low, low, low, low Lie, l-lie, I try to hide, but now you know it That I'm at an all time... Hey!   Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low Low, low, low, low, low, low, low, low, low"
The Vamps,Middle Of The Night,0," I keep coming back to that moment Where it all fell apart So I try and drink my emotions 'Til I can't feel my heart   And I don't understand How you slipped through my hands And I do all I can To get you out of my head   So when I call you in the middle of the night And I'm choking on the words 'cause I miss you Baby, don't tell me I'm out of time I got so much of my loving to give you   In the middle of the night In the middle of the night I need you In the middle of the night   I've got no good explanation For what I put you through Managing my expectations Is what I never do   Yeah, and I don't understand How you slipped through my hands And I'm trying all I can To forget you again   So when I call you in the middle of the night And I'm choking on the words 'cause I miss you Baby, don't tell me I'm out of time I got so much of my loving to give you   In the middle of the night In the middle of the night I need you   So when I call you in the middle of the night And I'm choking on the words 'cause I miss you Baby, don't tell me I'm out of time I got so much of my loving to give you   In the middle of the night In the middle of the night I need you In the middle of the night In the middle of the night I need you"
Dean Lewis,Waves,58," There is a swelling storm And I'm caught up in the middle of it all And it takes control of the person that I thought I was The boy I used to know But there is a light in the dark And I feel its warmth In my hands, in my heart But why can't I hold on?   It comes and goes in waves It always does, always does We watch as our young hearts fade Into the flood, into the flood   And the freedom of falling The feeling I thought was set in stone It slips through my fingers I'm trying hard to let go It comes and goes in waves It comes and goes in waves And carries us away   Through the wind Down to the place we used to lay when we were kids Memories of a stolen place Caught in the silence, an echo lost in space   It comes and goes in waves It always does, it always does We watch as our young hearts fade Into the flood, into the flood   And the freedom of falling The feeling I thought was set in stone It slips through my fingers I'm trying hard to let go It comes and goes in waves It comes and goes in waves And carries us away   I've watched my wild youth Disappear in front of my eyes Moments of magic and wonder It seems so hard to find Is it ever coming back again? Is it ever coming back again? Take me back to the feeling when Everything was left to find   It comes and goes in waves It always does, it always does   And the freedom of falling The feeling I thought was set in stone It slips through my fingers I'm trying hard to let go It comes and goes in waves It comes and goes in waves And carries us away"
Milky Chance,Cocoon,60," Eh-ah, eh-ah, eh-ah, eh-oh Eh-ah, eh-ah, oh Eh-ah, eh-ah, eh-ah, eh-oh Eh-ah, eh-ah, oh   I know that you must feel like facing With ruin, facing with ruin I messed it up as always, I'm afraid of losing, I'm afraid of losing I made you thinking oh so wrong I made you feeling the worst And I don't how to get along With myself when I'm weakened When I'm weakened   So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you Let me bleed, let me bleed Eh-ah, eh-ah Let me bleed, let me bleed Eh-ah, eh-ah Instead of you   I've been always playing Solid as I'm waving, solid as I'm waving So I became a liar, I've been underrating Overestimated I made it really hard for you Hard for you to love me But there's so many things we could do And all we need is escaping, escaping   So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you Let me bleed, let me bleed Eh-ah, eh-ah Let me bleed, let me bleed Eh-ah, eh-ah Instead of you   Eh-ah, eh-ah, oh Eh-ah, eh-ah   So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you So let's go back to our cocoon On the blackened afternoon I see your heart is bleeding too Let me bleed instead of you Let me bleed, let me bleed Let me bleed, let me bleed Let me bleed, now I will bleed Instead of you"
The Vamps,Can We Dance,54," I talk a lot of shit when I'm drinking, baby I'm known to go a little too fast Don't mind all my friends, I know they're all crazy But they're the only friends that I have I know I don't know you But I'd like to skip the small talk and romance, girl That's all I have to say so, baby, can we dance?   Here we go again, another drink I'm caving in Stupid words keep falling from my mouth You know that I mean well My hands were meant for somewhere else Your eyes are doing naughty butterflies   Oh, oh, oh, oh, one more drink and I should go Oh, oh, oh, oh, maybe she might like me though Oh, oh, oh, oh, I just can't think of what to say Should I go, should I stay? Just can't let her slip away   I talk a lot of shit when I'm drinking, baby I'm known to go a little too fast Don't mind all my friends, I know they're all crazy But they're the only friends that I have I know I don't know you But I'd like to skip the small talk and romance, girl That's all I have to say so, baby, can we dance?   I was nearly in, but then came in the pushy friend Killed my vibe and took my perfect ten away You know I need you, girl My heart's not made for someone else Take me in cause I can barely stand   Oh, oh, oh, oh, one more drink and I should go Oh, oh, oh, oh, maybe she might like me though Oh, oh, oh, oh, I just can't take this any more Should I stay? Should I go? It'll just lead back to her door   I talk a lot of shit when I'm drinking, baby I'm known to go a little too fast Don't mind all my friends, I know they're all crazy But they're the only friends that I have I know I don't know you But I'd like to skip the small talk and romance, girl That's all I have to say so, baby, can we dance?   I've been a bad, bad boy Whispering rude things in her ear Please say she'll break Please say she'll change Her mind and bring me back to her place   I talk a lot of shit when I'm drinking, baby I'm known to go a little too fast Don't mind all my friends, I know they're all crazy But they're the only friends that I have I know I don't know you But I'd like to skip the small talk and romance, girl That's all I have to say so, baby, can we dance?   I talk a lot of shit when I'm drinking, baby I'm known to go a little too fast Don't mind all my friends, I know they're all crazy But they're the only friends that I have I know I don't know you But I'd like to skip the small talk and romance, girl That's all I have to say so, baby, can we dance?"
Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,5,"   Eu disse que tô chapado e pegando fogo  Tudo que eu quero hoje à noite é ficar alto  Gata, você tá tão bonita, tá de morrer  Ooh, essa boceta é tão boa, é de morrer    É uma sociedade secreta Tudo que pedimos é confiança  Tudo que temos somos nós Lealdade, lealdade, lealdade Lealdade, lealdade, lealdade   Kung Fu Kenny agora Meu currículo é verdadeiro o bastante pra dois milênios Uma forma melhor de causar um distúrbio, parar de defendê-los Eu medito e modero todas as minhas vitórias de novo Estou em cima do muro de novo Estou sempre na sua mente Ponho minha lírica e minha linha da vida na reta E não tem limite pra quando eu brilhar, quando eu ralar Você tá seguindo em frente na hora certa, agora    Garota má RiRi agora Desvie, desvie, desvie, desvie, profundamente agora No seu pulso como um CDM Combustível na vadia como se fosse premium Acelerando na pista rápida Já era uma vadia má bem antes de qualquer grana entrar Tô consagrada Centenas de quilates no meu nome Mando no Atlas, tenho o dom, estou bem   Sou um selvagem, sou um babaca, sou um rei Shimmy-yeah, shimmy-yeah, shimmy-yeah, rock  Pode falar pro seu mano que ele pode me encontrar lá fora  Pode ser a babá dele quando eu largá-lo lá fora Não existe outro amor como o que eu conheço Estou há tanto tempo pra baixo que perdi a esperança Vim desmoronando de forma tão forte que diminuí o ritmo Honestidade para sempre, tudo que um mano quer   Eu disse que tô chapado e pegando fogo  Tudo que eu quero hoje à noite é ficar alto     Lealdade, lealdade, lealdade Lealdade, lealdade, lealdade Combinado, sem trocar de lado Sinto algo estranho Você tá sendo falsa, você não anda Mais comigo, eu preciso de Lealdade, lealdade, lealdade Lealdade, lealdade, lealdade   Tell me who you loyal to Is it money? Is it fame? Is it weed? Is it drink? Is it comin' down with the loud pipes and the rain? Big chillin', only for the power in your name Tell me who you loyal to Is it love for the streets when the lights get dark? Is it unconditional when the 'Rari don't start? Tell me when your loyalty is comin' from the heart   Tell me who you loyal to Do it start with your woman or your man?  Do it end with your family and friends?  Or you're loyal to yourself in advance? I said, tell me who you loyal to Is it anybody that you would lie for? Anybody you would slide for? Anybody you would die for? That's what God for   I said I'm geeked and I'm fired up  All I want tonight is just to get high up    Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty 10-4, no switchin' sides Feel somethin' wrong You actin' shifty, you don't ride With me no more, I need Loyalty, loyalty, loyalty Loyalty, loyalty, loyalty   It's so hard to be humble It's so hard to be Lord knows I'm tryin' Lord knows I'm dyin', baby"
Frank Ocean,Forrest Gump,61," I wanna see your pom poms from the stands Come on, come on   My fingertips and my lips They burn from the cigarettes Forrest Gump You run my mind, boy Running on my mind, boy Forrest Gump   I know you, Forrest I know you wouldn't hurt a beetle But you're so buff and so strong I'm nervous, Forrest Forrest Gump   My fingertips and my lips They burn from the cigarettes Forrest Gump You run my mind, boy Running on my mind, boy Forrest Gump   I saw your game, Forrest I was screaming, Run forty-four! But you kept running past the end zone Oh, where'd you go, Forrest? Forrest Gump   My fingertips and my lips They burn from the cigarettes Forrest Gump You run my mind, boy Running on my mind, boy Forrest Gump   Forrest green, Forrest blues I'm remembering you If this is love, I know it's true I won't forget you  It's for you, Forrest  It's for you, Forrest Forrest Gump"
J. Cole,No Role Modelz,81,"   First things first: rest in peace Uncle Phil For real, you the only father that I ever knew I get my bitch pregnant, I'ma be a better you Prophecies that I made way back in the Ville, fulfilled Listen, even back when we was broke, my team ill Martin Luther King woulda been on Dreamville Talk to a nigga   One time for my L.A. sisters One time for my L.A. hoes Lame niggas can't tell the difference One time for a nigga who know   Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved   No role models and I'm here right now No role models to speak of Searchin' through my memory, my memory, I couldn't find one Last night I was gettin' my feet rubbed By the baddest bitch, not Trina but I swear to God This bitch'll make you call your girl up And tell her, Hey, what's good? Sorry I'm never comin' home, I'ma stay for good. Then hang the phone up and proceed to lay the wood I came fast like 9-1-1 in white neighborhoods Ain't got no shame 'bout it She think I'm spoiled and I'm rich 'cause I can have any bitch I got defensive and said, Nah, I was the same without it. But then I thought back, back to a better me Before I was a B-list celebrity Before I started callin' bitches bitches so heavily Back when you could get a platinum plaque without no melody You wasn't sweatin' me   One time for my L.A. sisters One time for my L.A. hoes Lame niggas can't tell the difference One time for a nigga who know   Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved   I want a real love, dark skinned Aunt Viv love That Jada and that Will love That leave a toothbrush at your crib love And you ain't gotta wonder whether that's your kid love Nigga, I don't want no bitch from reality shows Out-of-touch-with-reality hoes Out in Hollywood bringin' back five or six hoes Fuck 'em then we kick 'em to the do' Nigga, you know how it go She deserved that, she a bird, it's a bird trap You think if I didn't rap she would flirt back? Takin' off her skirt, let her wear my shirt 'fore she leave I'ma need my shirt back    One time for my L.A. sisters One time for my L.A. hoes Lame niggas can't tell the difference One time for a nigga who know   Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved   There's an old saying in Tennessee—I know it's in Texas, probably in Tennessee—that says, fool me once… shame on… shame on you. Fool me, you can't get fooled again   Fool me one time, shame on you Fool me twice, can't put the blame on you Fool me three times, fuck the peace sign Load the chopper, let it rain on you Fool me one time, shame on you Fool me twice, can't put the blame on you Fool me three times, fuck the peace sign Load the chopper, let it rain on you   My only regret was too young for Lisa Bonet My only regret was too young for Nia Long Now all I'm left with is hoes from reality shows Hand her a script, the bitch probably couldn't read along My only regret was too young for Sade Adu My only regret, could never take Aaliyah home Now all I'm left with is hoes up in Greystone With the stale face 'cause they know it's they song She shallow but the pussy deep  She shallow but the pussy deep  She shallow but the pussy deep  She shallow but the pussy deep    Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved Don't save her, she don't wanna be saved"
Mike Perry,Hands,63," Come on lay your hands, your hands on me We don't have to talk 'cause talk is cheap In the dark silence so loud You only gotta lay your hands on me   You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah   I've been thinking about it I've been thinking all night Every time I try to learn your body language Never get it right You're so hard to read baby So I turn off the light And you just drop that dress to the floor We can talk until sunrise I've been thinking about it The way that you blow my mind I've been thinking about it, all night   Come on lay your hands, your hands on me We don't have to talk 'cause talk is cheap In the dark silence so loud You only gotta lay your hands on me   You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah   Don't tell me about it Keep on blowing my mind 'Cause your lips are made for kissing baby So I put them on mine No conversation I've heard every line So leave your shit at the door   Come on lay your hands, your hands on me We don't have to talk Cause talk is cheap In the dark silence so loud You only gotta lay your hands on me   You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah You say you're better with your Hands yeah yeah yeah Hands yeah yeah yeah"
Post Malone,rockstar,13," Hahahahaha Tank God Ayy, ayy   I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar  All my brothers got that gas And they always be smokin' like a Rasta  Fuckin' with me, call up on a Uzi And show up, man, them the shottas  When my homies pull up on your block They make that thing go grrra-ta-ta-ta    Switch my whip, came back in black I'm startin' sayin', Rest in peace to Bon Scott  Close that door, we blowin' smoke She ask me light a fire like I'm Morrison  Act a fool on stage Prolly leave my fuckin' show in a cop car  Shit was legendary Threw a TV out the window of the Montage Cocaine on the table, liquor pourin', don't give a damn Dude, your girlfriend is a groupie, she just tryna get in Sayin', I'm with the band  Now she actin' outta pocket, tryna grab up on my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend    I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar  All my brothers got that gas And they always be smokin' like a Rasta  Fuckin' with me, call up on a Uzi And show up, man, them the shottas  When my homies pull up on your block They make that thing go grrra-ta-ta-ta    I've been in the Hills fuckin' superstars Feelin' like a popstar  Drankin' Henny, bad bitches jumpin' in the pool And they ain't got on no bra  Hit her from the back, pullin' on her tracks And now she screamin' out, ¡No más!  They like, Savage, why you got a 12 car garage And you only got six cars?  I ain't with the cakin', how you kiss that?  Your wifey say I'm lookin' like a whole snack  Green hundreds in my safe, I got old racks  L.A. bitches always askin', Where the coke at?  Livin' like a rockstar, smash out on a cop car Sweeter than a Pop-Tart, you know you are not hard I done made the hot chart, 'member I used to trap hard Livin' like a rockstar, I'm livin' like a rockstar    I've been fuckin' hoes and poppin' pillies Man, I feel just like a rockstar  All my brothers got that gas And they always be smokin' like a Rasta  Fuckin' with me, call up on a Uzi And show up, man, them the shottas  When my homies pull up on your block They make that thing go grrra-ta-ta-ta    Star, star, rockstar, rockstar, star Rockstar Rockstar, feel just like a rock– Rockstar Rockstar Rockstar Feel just like a..."
Chance the Rapper,All We Got (feat. Kanye West & Chicago Children's Choir),62," And we back And we back, and we back, and we back, and we back, and we And we back, and we back, na, na, na   This ain't no intro, this the entree Hit that intro with Kanye and sound like André Tryna turn my baby mama to my fiancée She like music, she from Houston like Auntie Yoncé Man my daughter couldn't have a better mother If she ever find another, he better love her Man I swear my life is perfect, I could merch it If I die I'll prolly cry at my own service, igh, igh! It was a dream, you could not mess with the Beam This is like this many rings Y'all know wha' mean? This for the kids of the king of all kings This is the holiest thing This is the beat that played under the Word This is the sheep that ain't like what it herd This is officially first This is the third   This is all we got Isn't this all we got? So we might as well give it all we got This is all we got Music all we got, got, got So we might as well give it all we got   I get my word from the sermon I do not talk to the serpent That's the holistic discernment Daddy said I'm so determined Told me these goofies can't hurt me I just might make me some earl tea I was baptized like real early I might give satan a swirlie Wish I could tell you it's ready Tell you it's ready today They don't give nothing away You gotta fight for your way And that don't take nothing away Cause at the end of the day   Music is all we got Music is all we got Isn't this all we got? So we might as well give it all we got Music is all we got Music is all we got   We know, we know we got it We know, we know we got it We know, we know we got it We know, we know we got it Music We know, we know we got it We know, we know we got it We know, we know we got it We know, we know we got it Music Music is all we got"
Kendrick Lamar,ELEMENT.,70," New Kung Fu Kenny Ain't nobody prayin' for me Y'all know, what happens on Earth stays on Earth Here we go! I don't give a fuck, I don't give a fuck I don't give a, I don't give a, I don't give a fuck   I'm willin' to die for this shit I done cried for this shit, might take a life for this shit Put the Bible down and go eye for an eye for this shit D-O-T my enemy, won't catch a vibe for this shit, ayy I been stomped out in front of my mama My daddy commissary made it to commas Bitch, all my grandmas dead So ain't nobody prayin' for me, I'm on your head, ayy Thirty millions later, know the feds watchin' Auntie on my Telegram like, Be cautious! I be hangin' out at Tam's, I be on Stockton I don't do it for the 'Gram, I do it for Compton I'm willin' to die for this shit, nigga I'll take your fuckin' life for this shit, nigga We ain't goin' back to broke, family sellin' dope That's why you maney-ass rap niggas better know   If I gotta slap a pussy-ass nigga, I'ma make it look sexy If I gotta go hard on a bitch, I'ma make it look sexy I pull up, hop out, air out, made it look sexy They won't take me out my element Nah, take me out my element   I'm allergic to a bitch nigga, ayy An imaginary rich nigga, ayy Seven figures ho, that's slimmer than my bitch figure, ayy Goin' digital and physical on all y'all, ayy Bunch of criminals and money in my phone calls, ayy We okay, we let the A1 fly Relocate, jump on the same G5 Checkin' for me heavy 'cause I go, yeah, I go, yeah They never been ready, yeah, I know, yeah, know, yeah 100K spread across the floor, 'cross the floor, yeah None of y'all fuckin' with the flow, yeah, the flow, yeah Years in the makin', and don't y'all mistake it I got 'em by a landslide, we talkin' about races You know this'll never be a tie, just look at they laces You know careers take off, just gotta be patient Mr. One through Five, that's the only logic Fake my death, go to Cuba, that's the only option   If I gotta slap a pussy-ass nigga, I'ma make it look sexy If I gotta go hard on a bitch, I'ma make it look sexy I pull up, hop out, air out, made it look sexy They won't take me out my element Nah, take me out my element   Damned if I do, if I don't  Goddamn us all if you won't  Damn, damn, damn, it's a goddamn shame You ain't front in line, get out the goddamn way   Niggas thought they wasn't gonna see me, huh? Niggas thought that K-Dot real life Was the same life they see on TV, huh? Niggas wanna flex on me and be in L.A. for free, huh? Next time they hit the 10 freeway, we need a receipt, huh? 'Cause most of y'all ain't real, most of y'all gon' squeal Most of y'all just envy, but jealousy get you killed Most of y'all throw rocks and try to hide your hand Just say his name and I promise that you'll see Candyman Because it's all in your eyes, most of y'all tell lies Most of y'all don't fade, most of y'all been advised Last LP I tried to lift the black artists But it's a difference 'tween black artists and wack artists   If I gotta slap a pussy-ass nigga, I'ma make it look sexy It's the one and only, the world's greatest, the Kid Capri If I gotta go hard on a bitch, I'ma make it look sexy I pull up, hop out, air out, made it look sexy They won't take me out my element Nah, take me out my element"
